frame,host_time,clock,sequence,step,base_smile,base_rest,base_pressed,base_parted,overlay_smile,overlay_rest,overlay_pressed,overlay_parted,pose_smile,pose_rest,pose_pressed,pose_parted,blink,mouth,mouth_wide,mouth_opening,speech_active,needs_timer,anomaly,notices
0,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
1,0.0417,0.0417,,,0.0000,0.0000,0.0284,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0284,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
2,0.0833,0.0833,,,0.0000,0.0000,0.1047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1047,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
3,0.1250,0.1250,,,0.0000,0.0000,0.2154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2154,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
4,0.1667,0.1667,,,0.0000,0.0000,0.3471,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3471,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
5,0.2083,0.2083,,,0.0000,0.0000,0.4863,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4863,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
6,0.2500,0.2500,,,0.0000,0.0000,0.6196,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6196,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
7,0.2917,0.2917,,,0.0000,0.0000,0.7336,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7336,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
8,0.3333,0.3333,,,0.0000,0.0000,0.8147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8147,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
9,0.3750,0.3750,,,0.0000,0.0000,0.8496,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8496,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
10,0.4167,0.4167,,,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
11,0.4583,0.4583,,,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
12,0.5000,0.5000,,,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
13,0.5417,0.5417,,,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
14,0.5833,0.5833,,,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
15,0.6250,0.6250,,,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
16,0.6667,0.6667,,,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
17,0.7083,0.7083,,,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
18,0.7500,0.7500,,,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
19,0.7917,0.7917,,,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
20,0.8333,0.8333,,,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
21,0.8750,0.8750,,,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
22,0.9167,0.9167,,,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
23,0.9583,0.9583,,,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
24,1.0000,1.0000,aperture.parted,微张唇,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0168,0.0000,0.0000,0.8357,0.0168,0.0000,0.0000,0.0000,0.0168,0,1,,aperture.parted#started
25,1.0417,1.0417,aperture.parted,微张唇,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0604,0.0000,0.0000,0.7987,0.0604,0.0000,0.0000,0.0000,0.0604,0,1,,
26,1.0833,1.0833,aperture.parted,微张唇,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.1204,0.0000,0.0000,0.7477,0.1204,0.0000,0.0000,0.0000,0.1204,0,1,,
27,1.1250,1.1250,aperture.parted,微张唇,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.1866,0.0000,0.0000,0.6914,0.1866,0.0000,0.0000,0.0000,0.1866,0,1,,
