frame,host_time,clock,sequence,step,base_smile,base_rest,base_pressed,base_parted,overlay_smile,overlay_rest,overlay_pressed,overlay_parted,pose_smile,pose_rest,pose_pressed,pose_parted,blink,mouth,mouth_wide,mouth_opening,speech_active,needs_timer,anomaly,notices
0,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
1,0.0417,0.0417,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
2,0.0833,0.0833,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
3,0.1250,0.1250,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
4,0.1667,0.1667,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
5,0.2083,0.2083,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
6,0.2500,0.2500,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
7,0.2917,0.2917,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
8,0.3333,0.3333,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.0125,0.0000,0.0000,0.0000,0.0125,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,speech.smile#started
9,0.3750,0.3750,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.0458,0.0000,0.0000,0.0000,0.0458,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
10,0.4167,0.4167,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.0933,0.0000,0.0000,0.0000,0.0933,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
11,0.4583,0.4583,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.1486,0.0000,0.0000,0.0000,0.1486,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
12,0.5000,0.5000,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.2052,0.0000,0.0000,0.0000,0.2052,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,,
13,0.5417,0.5417,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.2566,0.0000,0.0000,0.0000,0.2566,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,,
14,0.5833,0.5833,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.2963,0.0000,0.0000,0.0000,0.2963,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,,
15,0.6250,0.6250,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3179,0.0000,0.0000,0.0000,0.3179,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,,
16,0.6667,0.6667,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,,
17,0.7083,0.7083,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.1175,0.0470,0.1175,1,1,,
18,0.7500,0.7500,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.4369,0.1748,0.4369,1,1,,
19,0.7917,0.7917,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.5029,0.1964,0.5029,1,1,,
20,0.8333,0.8333,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.5207,0.1741,0.5207,1,1,,
21,0.8750,0.8750,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.5463,0.1421,0.5463,1,1,,
22,0.9167,0.9167,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.5694,0.1132,0.5694,1,1,,
23,0.9583,0.9583,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.5800,0.1000,0.5800,1,1,,
24,1.0000,1.0000,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.4491,0.0774,0.4491,1,1,,
25,1.0417,1.0417,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.1809,0.0312,0.1809,1,1,,
26,1.0833,1.0833,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.0044,0.0008,0.0044,1,1,,
27,1.1250,1.1250,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,,
28,1.1667,1.1667,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,,
29,1.2083,1.2083,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.0091,0.0039,0.0091,1,1,,
30,1.2500,1.2500,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.2300,0.1000,0.2300,1,1,,
31,1.2917,1.2917,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.4509,0.1961,0.4509,1,1,,
32,1.3333,1.3333,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.4526,0.2310,0.4526,1,1,,
33,1.3750,1.3750,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.4277,0.3347,0.4277,1,1,,
34,1.4167,1.4167,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.3946,0.4727,0.3946,1,1,,
35,1.4583,1.4583,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.3630,0.6042,0.3630,1,1,,
36,1.5000,1.5000,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.3428,0.6884,0.3428,1,1,,
37,1.5417,1.5417,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.3320,0.7100,0.3320,1,1,,
